Sample Name, Sample-2
Time, April 01 12:01:44 2022
Operator, Kolloid
Lamp, 0
Slit,0.0
Scan From, 1100.0nm
Scan To, 200.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
405.0, 1.2576, 5.53
406.0, 1.2598, 5.50
407.0, 1.2592, 5.51
408.0, 1.2623, 5.47
409.0, 1.2596, 5.50
410.0, 1.2607, 5.49
411.0, 1.2616, 5.47
412.0, 1.2592, 5.51
413.0, 1.2592, 5.51
414.0, 1.2612, 5.48
415.0, 1.2608, 5.49
416.0, 1.2610, 5.48
417.0, 1.2614, 5.48
418.0, 1.2628, 5.46
419.0, 1.2616, 5.48
420.0, 1.2622, 5.47
421.0, 1.2605, 5.49
422.0, 1.2616, 5.48
423.0, 1.2618, 5.47
424.0, 1.2629, 5.46
425.0, 1.2633, 5.45
426.0, 1.2635, 5.45
427.0, 1.2651, 5.43
428.0, 1.2642, 5.44
429.0, 1.2668, 5.41
430.0, 1.2673, 5.40
431.0, 1.2677, 5.40
432.0, 1.2699, 5.37
433.0, 1.2708, 5.36
434.0, 1.2710, 5.36
435.0, 1.2719, 5.35
436.0, 1.2725, 5.34
437.0, 1.2764, 5.29
438.0, 1.2749, 5.31
439.0, 1.2758, 5.30
440.0, 1.2772, 5.28
441.0, 1.2788, 5.26
442.0, 1.2761, 5.30
443.0, 1.2752, 5.31
444.0, 1.2770, 5.28
445.0, 1.2786, 5.26
446.0, 1.2772, 5.28
447.0, 1.2811, 5.23
448.0, 1.2815, 5.23
449.0, 1.2836, 5.20
450.0, 1.2830, 5.21
451.0, 1.2927, 5.10
452.0, 1.2894, 5.14
453.0, 1.2936, 5.09
454.0, 1.2942, 5.08
455.0, 1.2964, 5.05
456.0, 1.2970, 5.05
457.0, 1.2966, 5.05
458.0, 1.2975, 5.04
459.0, 1.3005, 5.01
460.0, 1.3088, 4.91
461.0, 1.3052, 4.95
462.0, 1.3092, 4.91
463.0, 1.3117, 4.88
464.0, 1.3090, 4.91
465.0, 1.3128, 4.87
466.0, 1.3155, 4.84
467.0, 1.3158, 4.83
468.0, 1.3131, 4.86
469.0, 1.3154, 4.84
470.0, 1.3201, 4.79
471.0, 1.3161, 4.83
472.0, 1.3198, 4.79
473.0, 1.3202, 4.78
474.0, 1.3203, 4.78
475.0, 1.3260, 4.72
476.0, 1.3187, 4.80
477.0, 1.3274, 4.71
478.0, 1.3231, 4.75
479.0, 1.3287, 4.69
480.0, 1.3262, 4.72
481.0, 1.3299, 4.68
482.0, 1.3319, 4.66
483.0, 1.3332, 4.64
484.0, 1.3367, 4.61
485.0, 1.3371, 4.60
486.0, 1.3353, 4.62
487.0, 1.3385, 4.59
488.0, 1.3424, 4.55
489.0, 1.3396, 4.58
490.0, 1.3458, 4.51
491.0, 1.3440, 4.53
492.0, 1.3489, 4.48
493.0, 1.3484, 4.48
494.0, 1.3482, 4.49
495.0, 1.3538, 4.43
496.0, 1.3536, 4.43
497.0, 1.3542, 4.42
498.0, 1.3550, 4.42
499.0, 1.3570, 4.40
500.0, 1.3606, 4.36
501.0, 1.3576, 4.39
502.0, 1.3632, 4.33
503.0, 1.3605, 4.36
504.0, 1.3635, 4.33
505.0, 1.3692, 4.27
506.0, 1.3666, 4.30
507.0, 1.3696, 4.27
508.0, 1.3744, 4.22
509.0, 1.3741, 4.23
510.0, 1.3767, 4.20
511.0, 1.3782, 4.19
512.0, 1.3807, 4.16
513.0, 1.3831, 4.14
514.0, 1.3846, 4.13
515.0, 1.3850, 4.12
516.0, 1.3863, 4.11
517.0, 1.3889, 4.08
518.0, 1.3922, 4.05
519.0, 1.3918, 4.06
520.0, 1.3949, 4.03
521.0, 1.3977, 4.00
522.0, 1.3988, 3.99
523.0, 1.3994, 3.99
524.0, 1.4048, 3.94
525.0, 1.4054, 3.93
526.0, 1.4076, 3.91
527.0, 1.4064, 3.92
528.0, 1.4098, 3.89
529.0, 1.4117, 3.88
530.0, 1.4150, 3.85
531.0, 1.4162, 3.84
532.0, 1.4188, 3.81
533.0, 1.4205, 3.80
534.0, 1.4228, 3.78
535.0, 1.4253, 3.76
536.0, 1.4285, 3.73
537.0, 1.4289, 3.72
538.0, 1.4307, 3.71
539.0, 1.4303, 3.71
540.0, 1.4352, 3.67
541.0, 1.4378, 3.65
542.0, 1.4402, 3.63
543.0, 1.4424, 3.61
544.0, 1.4455, 3.59
545.0, 1.4458, 3.58
546.0, 1.4467, 3.58
547.0, 1.4493, 3.55
548.0, 1.4525, 3.53
549.0, 1.4544, 3.51
550.0, 1.4570, 3.49
551.0, 1.4572, 3.49
552.0, 1.4607, 3.46
553.0, 1.4644, 3.43
554.0, 1.4656, 3.42
555.0, 1.4678, 3.41
556.0, 1.4696, 3.39
557.0, 1.4744, 3.35
558.0, 1.4762, 3.34
559.0, 1.4784, 3.32
560.0, 1.4819, 3.30
561.0, 1.4851, 3.27
562.0, 1.4865, 3.26
563.0, 1.4877, 3.25
564.0, 1.4921, 3.22
565.0, 1.4961, 3.19
566.0, 1.4975, 3.18
567.0, 1.4977, 3.18
568.0, 1.4998, 3.16
569.0, 1.5031, 3.14
570.0, 1.5064, 3.12
571.0, 1.5111, 3.08
572.0, 1.5169, 3.04
573.0, 1.5167, 3.04
574.0, 1.5142, 3.06
575.0, 1.5189, 3.03
576.0, 1.5250, 2.99
577.0, 1.5273, 2.97
578.0, 1.5307, 2.95
579.0, 1.5305, 2.95
580.0, 1.5367, 2.91
581.0, 1.5393, 2.89
582.0, 1.5434, 2.86
583.0, 1.5462, 2.84
584.0, 1.5477, 2.83
585.0, 1.5546, 2.79
586.0, 1.5369, 2.90
587.0, 1.5399, 2.88
588.0, 1.5440, 2.86
589.0, 1.5485, 2.83
590.0, 1.5552, 2.78
