WL(nm);Abs;T%
448.0;0.5335;29.28
449.0;0.5361;29.1
450.0;0.5371;29.03
451.0;0.5398;28.85
452.0;0.5427;28.66
453.0;0.5443;28.56
454.0;0.5462;28.43
455.0;0.5479;28.32
456.0;0.5499;28.19
457.0;0.5521;28.05
458.0;0.5548;27.87
459.0;0.5561;27.79
460.0;0.5595;27.58
461.0;0.5596;27.57
462.0;0.5626;27.38
463.0;0.5644;27.27
464.0;0.5672;27.09
465.0;0.5697;26.94
466.0;0.5715;26.83
467.0;0.5733;26.71
468.0;0.5755;26.57
469.0;0.578;26.43
470.0;0.5798;26.31
471.0;0.5825;26.15
472.0;0.5844;26.04
473.0;0.5868;25.89
474.0;0.5888;25.77
475.0;0.5905;25.67
476.0;0.5924;25.56
477.0;0.5954;25.39
478.0;0.5976;25.26
479.0;0.5997;25.13
480.0;0.6018;25.01
481.0;0.6035;24.92
482.0;0.606;24.78
483.0;0.6089;24.61
484.0;0.6105;24.52
485.0;0.6134;24.36
486.0;0.6161;24.2
487.0;0.6188;24.06
488.0;0.6212;23.92
489.0;0.6237;23.79
490.0;0.6257;23.68
491.0;0.6277;23.56
492.0;0.6299;23.45
493.0;0.6325;23.31
494.0;0.6351;23.17
495.0;0.6373;23.05
496.0;0.6405;22.88
497.0;0.6436;22.72
498.0;0.6449;22.65
499.0;0.648;22.49
500.0;0.6502;22.37
501.0;0.6526;22.25
502.0;0.6559;22.08
503.0;0.6586;21.95
504.0;0.661;21.83
505.0;0.6632;21.72
506.0;0.667;21.53
507.0;0.669;21.43
508.0;0.6725;21.26
509.0;0.6751;21.13
510.0;0.678;20.99
511.0;0.6805;20.87
512.0;0.6837;20.72
513.0;0.6867;20.57
514.0;0.6894;20.45
515.0;0.6926;20.29
516.0;0.6955;20.16
517.0;0.6985;20.02
518.0;0.701;19.91
519.0;0.7051;19.72
520.0;0.708;19.59
521.0;0.7105;19.47
522.0;0.7137;19.33
523.0;0.7169;19.19
524.0;0.7207;19.02
525.0;0.7242;18.87
526.0;0.7269;18.76
527.0;0.731;18.58
528.0;0.7341;18.45
529.0;0.7376;18.3
530.0;0.741;18.15
531.0;0.745;17.99
532.0;0.7481;17.86
533.0;0.7514;17.72
534.0;0.7561;17.53
535.0;0.7587;17.43
536.0;0.7632;17.25
537.0;0.7668;17.11
538.0;0.7703;16.97
539.0;0.7749;16.79
540.0;0.7786;16.65
541.0;0.7818;16.53
542.0;0.7856;16.38
543.0;0.7894;16.24
544.0;0.7933;16.09
545.0;0.7976;15.94
546.0;0.8019;15.78
547.0;0.8063;15.62
548.0;0.8109;15.46
549.0;0.8143;15.33
550.0;0.8193;15.16
551.0;0.8237;15.01
552.0;0.827;14.89
553.0;0.8318;14.73
554.0;0.8366;14.57
555.0;0.8413;14.41
556.0;0.846;14.26
557.0;0.8507;14.1
558.0;0.8553;13.95
559.0;0.8588;13.84
560.0;0.864;13.68
561.0;0.8685;13.54
562.0;0.8734;13.38
563.0;0.8779;13.25
564.0;0.8823;13.11
565.0;0.8877;12.95
566.0;0.8919;12.82
567.0;0.8969;12.68
568.0;0.9025;12.52
569.0;0.9074;12.38
570.0;0.9122;12.24
571.0;0.9165;12.12
572.0;0.9215;11.98
573.0;0.9257;11.87
574.0;0.9314;11.71
575.0;0.9365;11.58
576.0;0.942;11.43
577.0;0.9472;11.29
578.0;0.9519;11.17
579.0;0.9579;11.02
580.0;0.9625;10.9
581.0;0.9685;10.75
582.0;0.9726;10.65
583.0;0.9768;10.55
584.0;0.9807;10.45
585.0;0.9845;10.36
586.0;0.9938;10.14
587.0;0.9994;10.01
588.0;1.0044;9.9
589.0;1.0101;9.77
590.0;1.014;9.68
591.0;1.0186;9.58
592.0;1.0242;9.46
593.0;1.0288;9.36
594.0;1.0321;9.29
595.0;1.0384;9.15
596.0;1.0422;9.07
597.0;1.0488;8.94
598.0;1.0545;8.82
599.0;1.0585;8.74
600.0;1.0636;8.64
601.0;1.0688;8.54
602.0;1.0744;8.43
603.0;1.0792;8.33
604.0;1.0857;8.21
605.0;1.0904;8.12
606.0;1.095;8.03
607.0;1.0983;7.98
608.0;1.1015;7.92
609.0;1.1079;7.8
610.0;1.1118;7.73
611.0;1.1181;7.62
612.0;1.1218;7.55
613.0;1.1261;7.48
614.0;1.1288;7.43
615.0;1.135;7.33
616.0;1.1421;7.21
617.0;1.1463;7.14
618.0;1.1491;7.09
619.0;1.156;6.98
620.0;1.161;6.9
621.0;1.1637;6.86
622.0;1.1697;6.77
623.0;1.1728;6.72
624.0;1.1782;6.63
625.0;1.1817;6.58
626.0;1.1871;6.5
627.0;1.1905;6.45
628.0;1.1942;6.39
629.0;1.199;6.32
630.0;1.2023;6.28
631.0;1.2062;6.22
632.0;1.2124;6.13
633.0;1.2159;6.08
634.0;1.2193;6.04
635.0;1.2221;6.0
636.0;1.2262;5.94
637.0;1.2279;5.92
638.0;1.2337;5.84
639.0;1.2373;5.79
640.0;1.2436;5.71
641.0;1.2474;5.66
642.0;1.2509;5.61
643.0;1.2549;5.56
644.0;1.2582;5.52
645.0;1.2603;5.49
646.0;1.2651;5.43
647.0;1.2696;5.38
648.0;1.274;5.32
649.0;1.2747;5.31
650.0;1.2795;5.25
651.0;1.2867;5.17
652.0;1.2906;5.12
653.0;1.2906;5.12
654.0;1.2962;5.06
655.0;1.2984;5.03
656.0;1.3045;4.96
657.0;1.3087;4.91
658.0;1.3082;4.92
659.0;1.3134;4.86
660.0;1.3184;4.8
661.0;1.322;4.76
662.0;1.3274;4.71
663.0;1.33;4.68
664.0;1.3285;4.69
665.0;1.3341;4.63
666.0;1.3346;4.63
667.0;1.3419;4.55
668.0;1.345;4.52
669.0;1.3468;4.5
670.0;1.3509;4.46
671.0;1.356;4.41
672.0;1.3598;4.37
673.0;1.3614;4.35
674.0;1.3651;4.31
675.0;1.3697;4.27
676.0;1.3737;4.23
677.0;1.3744;4.22
678.0;1.3824;4.15
679.0;1.383;4.14
680.0;1.3862;4.11
681.0;1.3929;4.05
682.0;1.3937;4.04
683.0;1.3934;4.04
684.0;1.3972;4.01
685.0;1.4007;3.97
686.0;1.4041;3.94
687.0;1.4077;3.91
688.0;1.4106;3.89
689.0;1.4129;3.86
690.0;1.4156;3.84
691.0;1.4182;3.82
692.0;1.4242;3.77
693.0;1.425;3.76
694.0;1.4297;3.72
695.0;1.4323;3.7
696.0;1.4318;3.7
697.0;1.4383;3.65
698.0;1.4401;3.63
699.0;1.4426;3.61
700.0;1.445;3.59
701.0;1.4472;3.57
702.0;1.4458;3.58
703.0;1.4488;3.56
704.0;1.4559;3.5
705.0;1.4602;3.47
706.0;1.4612;3.46
707.0;1.4652;3.43
708.0;1.4668;3.41
709.0;1.4681;3.4
710.0;1.4718;3.37
711.0;1.4722;3.37
712.0;1.4703;3.39
713.0;1.4769;3.34
714.0;1.4807;3.31
715.0;1.4814;3.3
716.0;1.4857;3.27
717.0;1.4841;3.28
718.0;1.4813;3.3
719.0;1.4932;3.21
720.0;1.4925;3.22
721.0;1.4968;3.19
722.0;1.5006;3.16
723.0;1.5025;3.14
724.0;1.5036;3.14
725.0;1.5044;3.13
726.0;1.5059;3.12
727.0;1.5083;3.1
728.0;1.5103;3.09
729.0;1.5112;3.08
730.0;1.5132;3.07
731.0;1.5145;3.06
732.0;1.5148;3.06
733.0;1.5178;3.04
734.0;1.5188;3.03
735.0;1.5197;3.02
736.0;1.5187;3.03
737.0;1.5204;3.02
738.0;1.5225;3.0
739.0;1.5226;3.0
740.0;1.5231;3.0
741.0;1.5254;2.98
742.0;1.5248;2.99
743.0;1.5264;2.98
744.0;1.5273;2.97
745.0;1.5288;2.96
746.0;1.5267;2.97
747.0;1.5283;2.96
748.0;1.5258;2.98
749.0;1.5271;2.97
750.0;1.529;2.96
751.0;1.5306;2.95
752.0;1.5298;2.95
753.0;1.528;2.97
754.0;1.527;2.97
755.0;1.5273;2.97
756.0;1.5284;2.96
757.0;1.5253;2.98
758.0;1.5288;2.96
759.0;1.5263;2.98
760.0;1.5276;2.97
761.0;1.5199;3.02
762.0;1.5197;3.02
763.0;1.5245;2.99
764.0;1.5214;3.01
765.0;1.5187;3.03
766.0;1.5193;3.02
767.0;1.5179;3.03
768.0;1.516;3.05
769.0;1.5151;3.05
770.0;1.5138;3.06
771.0;1.5083;3.1
772.0;1.5117;3.08
773.0;1.5091;3.1
774.0;1.5062;3.12
775.0;1.5045;3.13
776.0;1.503;3.14
777.0;1.5016;3.15
778.0;1.4996;3.17
779.0;1.4952;3.2
780.0;1.4943;3.2
781.0;1.4927;3.22
782.0;1.4905;3.23
783.0;1.4868;3.26
784.0;1.487;3.26
785.0;1.485;3.27
786.0;1.4787;3.32
787.0;1.4727;3.37
788.0;1.4717;3.38
789.0;1.4687;3.4
790.0;1.4718;3.37
791.0;1.4648;3.43
792.0;1.4642;3.43
793.0;1.4573;3.49
794.0;1.4563;3.5
795.0;1.4526;3.53
796.0;1.4522;3.53
797.0;1.4504;3.55
798.0;1.4416;3.62
799.0;1.4419;3.61
800.0;1.4379;3.65
801.0;1.436;3.66
802.0;1.4299;3.72
803.0;1.4263;3.75
804.0;1.4215;3.79
805.0;1.4181;3.82
806.0;1.4177;3.82
807.0;1.4135;3.86
808.0;1.4097;3.89
809.0;1.4076;3.91
810.0;1.3992;3.99
811.0;1.3988;3.99
812.0;1.3927;4.05
813.0;1.3907;4.07
814.0;1.3831;4.14
815.0;1.3856;4.12
816.0;1.3819;4.15
817.0;1.3766;4.2
818.0;1.373;4.24
819.0;1.3694;4.27
820.0;1.3658;4.31
821.0;1.363;4.34
822.0;1.3571;4.39
823.0;1.3547;4.42
824.0;1.3512;4.45
825.0;1.3485;4.48
826.0;1.3424;4.55
827.0;1.3367;4.61
828.0;1.3355;4.62
829.0;1.3335;4.64
830.0;1.3313;4.66
831.0;1.3242;4.74
832.0;1.3213;4.77
833.0;1.3155;4.84
834.0;1.3123;4.87
835.0;1.3101;4.9
836.0;1.3039;4.97
837.0;1.3037;4.97
838.0;1.3002;5.01
839.0;1.2994;5.02
840.0;1.2943;5.08
841.0;1.2852;5.19
842.0;1.2829;5.21
843.0;1.2795;5.25
844.0;1.2809;5.24
845.0;1.277;5.28
846.0;1.2686;5.39
847.0;1.2673;5.4
848.0;1.2663;5.42
849.0;1.2615;5.48
850.0;1.2582;5.52
851.0;1.2554;5.55
852.0;1.2524;5.59
853.0;1.2493;5.63
854.0;1.2457;5.68
855.0;1.2427;5.72
